Question Number,Difficulty Level,Question,Option A,Option B,Option C,Correct Answer,Hint,,,,,,,,,,,,,,,,,,
49,Medium,Which document outlines the terms and conditions of a loan?,An amortization schedule,A credit report,A promissory note,C,This is the legal document that formalizes the debt agreement.,,,,,,,,,,,,,,,,,,
50,Medium,What is a 'prepayment penalty'?,A fee charged for paying off a loan before the end of its term,A fee charged for late payments,A fee charged for applying for a loan,A,This is a fee for paying back the loan too early.,,,,,,,,,,,,,,,,,,
51,Medium,What is the main advantage of a fixed-rate mortgage over a variable-rate one?,The interest rate will never increase,The monthly payment will always be lower,It is easier to qualify for,A,This provides certainty and protection against rising rates.,,,,,,,,,,,,,,,,,,
52,Medium,What is a 'home equity line of credit' (HELOC)?,A line of credit secured by the borrower's home,An unsecured loan,A loan with a fixed repayment schedule,A,This is a revolving loan that uses the equity in your home as collateral.,,,,,,,,,,,,,,,,,,
53,Medium,What does 'collateral' protect the lender from?,Loan default,Interest rate changes,A decrease in the borrower's income,A,The lender can seize this asset if the borrower fails to repay the loan.,,,,,,,,,,,,,,,,,,
54,Medium,Which of these is a form of subsidized student loan?,A loan where the government pays the interest while the student is in school,A loan that does not have an interest rate,A loan that requires no repayment,A,This benefit can significantly reduce the total cost of the loan.,,,,,,,,,,,,,,,,,,
55,Medium,What is the purpose of 'loan underwriting'?,To determine if a loan is a good investment for the lender,To create a repayment plan for the borrower,To calculate the total cost of a loan,A,This process involves evaluating the risk of lending to a specific borrower.,,,,,,,,,,,,,,,,,,
56,Medium,What does a loan's 'floor' and 'ceiling' refer to?,The maximum and minimum principal amount,The maximum and minimum interest rate,The maximum and minimum loan term,B,These terms set the upper and lower limits on the interest rate.,,,,,,,,,,,,,,,,,,
57,Medium,What is a 'loan modification'?,A complete cancellation of a loan,A change in the terms of an existing loan,A new loan taken out to replace an old one,B,This is an adjustment to the original loan agreement- often to help a borrower in financial distress.,,,,,,,,,,,,,,,,,,
58,Medium,How does a borrower's credit history affect their loan application?,It has no effect on the application,It is used to calculate the loan's interest rate,It is used to determine if the borrower is a reliable credit risk,C,A strong credit history demonstrates a pattern of responsible borrowing.,,,,,,,,,,,,,,,,,,
59,Medium,What is the effect of making a lump-sum principal payment on a loan with an amortization schedule?,It shortens the loan term and reduces total interest paid,It only reduces the monthly payment,It has no effect on the loan,A,This action accelerates the repayment process.,,,,,,,,,,,,,,,,,,
60,Medium,What is the main benefit of a simple interest loan?,The interest is not compounded,It is typically a larger loan amount,It is easier to qualify for,A,The interest is only calculated on the original principal balance.,,,,,,,,,,,,,,,,,,
61,Hard,A 'loan shark' is a term for an illegal- high-interest lender. What is their primary advantage over a legal lender?,They don't have to follow consumer protection laws,They offer much lower interest rates,They are more transparent about their fees,A,This allows them to charge exorbitant rates without regulation.,,,,,,,,,,,,,,,,,,
62,Hard,What is 'securitization' in the context of lending?,The process of getting a secured loan,The practice of lenders selling their loans to investors,The act of using an asset as collateral,B,It's the process of bundling debt and selling it as a financial product.,,,,,,,,,,,,,,,,,,
63,Hard,In the context of lending- what is a 'call option'?,The ability for the borrower to call the lender at any time,The right of the lender to demand early repayment of the loan,The right of the borrower to refinance the loan,B,This gives the lender the power to demand early repayment.,,,,,,,,,,,,,,,,,,
64,Hard,What is a 'subprime' loan?,A loan for a borrower with a perfect credit score,A loan with a very low interest rate,A loan to a high-risk borrower with a poor credit history,C,These loans are offered to borrowers who may not qualify for conventional loans.,,,,,,,,,,,,,,,,,,
65,Hard,The 'Truth in Lending Act' requires lenders to disclose what?,The full name and address of the lender,The age of the borrower,The APR and total cost of a loan,C,This law is designed to ensure transparency in lending.,,,,,,,,,,,,,,,,,,
66,Hard,In a loan with a 'negative amortization' feature- what happens to the principal balance?,It increases over time,It decreases over time,It stays the same,A,The monthly payments are not large enough to cover the interest- so the unpaid interest is added to the principal.,,,,,,,,,,,,,,,,,,
67,Hard,What does the 'Federal Reserve' typically do to combat inflation?,Increase interest rates,Decrease interest rates,Print more money,A,Increasing the federal funds rate makes borrowing more expensive- which slows down the economy.,,,,,,,,,,,,,,,,,,
68,Hard,What is a 'debt service coverage ratio' (DSCR)?,A ratio of a company's debt to its income,A ratio used to determine how much of a loan is covered by collateral,A ratio of a company's available cash flow to its debt obligations,C,This metric is used to analyze a company's ability to service its debt.,,,,,,,,,,,,,,,,,,
69,Hard,What is the purpose of 'due diligence' in commercial lending?,To approve a loan application quickly,To verify all information provided by the borrower,To negotiate a lower interest rate,B,It's a detailed investigation into the borrower's financial standing and risk.,,,,,,,,,,,,,,,,,,
70,Hard,What is a 'jumbo loan'?,A small short-term loan,A loan with a high interest rate,A mortgage loan that exceeds conforming loan limits,C,These loans are for amounts higher than what is typically allowed for a conventional mortgage.,,,,,,,,,,,,,,,,,,
71,Hard,What is the difference between a 'loan' and a 'bond' from a lender's perspective?,A bond is a form of public debt  while a loan is private debt,A bond is a form of private debt  while a loan is public debt,They are the same,A,A bond is a security representing debt that is issued to the public.,,,,,,,,,,,,,,,,,,
72,Hard,What is a 'secured credit card'?,A credit card with no annual fee,A credit card backed by a cash deposit,A credit card with a high credit limit,B,The deposit acts as collateral- which reduces the lender's risk.,,,,,,,,,,,,,,,,,,
73,Hard,In a 'loan participation' agreement- what happens?,A single bank originates and holds the entire loan,Multiple banks share in the funding and risk of a single loan,A borrower gets a loan from multiple lenders at once,B,This is a common way for multiple lenders to share in the risk and reward of a large loan.,,,,,,,,,,,,,,,,,,
74,Hard,What is a 'subordination clause' in a mortgage agreement?,A clause that states the loan cannot be paid off early,A clause that gives the second lien holder a higher priority than the first,A clause that makes one loan's claim subordinate to another's,C,This clause defines the priority of claims in the event of default.,,,,,,,,,,,,,,,,,,
75,Hard,What is the main risk for a lender with an 'interest-only' loan?,The principal is never reduced,The interest rate could increase unexpectedly,The borrower will not have the funds to make the large payment at the end of the term,C,The lack of principal repayment creates a 'payment shock' risk when the interest-only period ends.,,,,,,,,,,,,,,,,,,
76,Hard,In a commercial lending agreement- what is a 'cross-default provision'?,A provision that allows the borrower to default on a loan,A provision that links defaults on multiple loans,A provision that allows for a new loan to be taken out,B,This provision states that a default on one loan triggers a default on another loan.,,,,,,,,,,,,,,,,,,
77,Hard,What is the purpose of an 'escrow account' in a mortgage?,To hold a borrower's down payment,To hold funds for property taxes and insurance,To hold the loan principal,B,This account ensures that the lender can make payments for taxes and insurance on behalf of the borrower.,,,,,,,,,,,,,,,,,,
78,Hard,How does the 'Federal Funds Rate' affect consumer lending?,It directly determines the interest rate on all loans,It influences the rates banks charge each other for overnight loans  which impacts consumer rates,It has no effect on consumer lending,B,The Fed's rate changes influence the cost of money for banks- which is passed on to consumers.,,,,,,,,,,,,,,,,,,
79,Hard,What is the primary benefit of 'refinancing' for a borrower?,To extend the loan term,To obtain a lower interest rate or different loan terms,To get an additional loan amount,B,The goal is to improve the terms of the original loan.,,,,,,,,,,,,,,,,,,
80,Hard,What does the term 'syndicated loan' mean?,A loan given to a syndicate of borrowers,A loan funded by a group of lenders to a single borrower,A loan that is guaranteed by the government,B,This is a way for a large loan to be managed by a group of lenders.,,,,,,,,,,,,,,,,,,
81,Hard,In a financial sense- what is 'leverage'?,The act of borrowing money to increase a company's investment potential,The process of getting a secured loan,A measure of a company's profitability,A,This concept involves using borrowed capital to finance assets.,,,,,,,,,,,,,,,,,,
82,Hard,What is a 'collateralized loan obligation' (CLO)?,A loan where collateral is not required,A type of secured loan,A single security backed by a pool of corporate loans,C,This is a financial instrument that is a type of securitized debt.,,,,,,,,,,,,,,,,,,
83,Hard,What is the 'risk premium' in a loan's interest rate?,The rate of interest on the principal,The additional interest charged to compensate for the risk of default,The fee for processing the loan,B,Lenders charge this extra amount for taking on more risk.,,,,,,,,,,,,,,,,,,
84,Hard,What does 'non-recourse debt' mean?,The lender has no right to seize collateral,The lender can only seize the collateral and cannot sue the borrower for the remaining debt,The borrower cannot be held responsible for the debt,B,This type of debt limits the lender's recourse to only the collateral.,,,,,,,,,,,,,,,,,,
85,Hard,What is the 'libor'?,A type of secured loan,A global benchmark interest rate,A loan term,B,This was a key reference rate for many financial products before being phased out.,,,,,,,,,,,,,,,,,,
86,Very Hard,What is the main difference between a loan and an 'equity investment'?,Loans are repaid with a fixed return while equity provides a share of ownership,Loans are unsecured while equity investments are secured,Loans provide a share of ownership  while equity provides a fixed return,A,One involves a debt relationship- the other an ownership relationship.,,,,,,,,,,,,,,,,,,
87,Very Hard,In the context of the 'yield curve'- what does an inverted curve suggest about lending?,That long-term loans are less profitable than short-term loans,That long-term loans are more profitable than short-term loans,That interest rates will remain stable,A,An inverted yield curve is often seen as a predictor of a future economic recession.,,,,,,,,,,,,,,,,,,
88,Very Hard,What is a 'covenant-lite' loan?,A loan with very strict conditions for the borrower,A loan with very few restrictions on the borrower,A loan with a very low interest rate,B,This type of loan has fewer protections for the lender and more flexibility for the borrower.,,,,,,,,,,,,,,,,,,
89,Very Hard,What is the 'principal-agent problem' in lending?,The borrower acting in their own interest instead of the lender's,The lender acting in their own interest instead of the borrower's,The loan officer acting in their own interest instead of the bank's,A,This issue arises when one party (the agent) acts on behalf of another (the principal).,,,,,,,,,,,,,,,,,,
90,Very Hard,What is the purpose of 'credit default swaps' (CDSs)?,To allow lenders to lend money to more borrowers,To transfer the credit risk of a loan from one party to another,To ensure a loan is paid off,B,These are financial contracts that provide insurance against the risk of a loan defaulting.,,,,,,,,,,,,,,,,,,
91,Very Hard,What does 'adverse selection' refer to in lending?,The risk that a lender will choose a bad loan,The tendency for borrowers with the highest risk to seek out loans,The risk that a borrower will pay off a loan early,B,This occurs because high-risk individuals are often the most eager to borrow.,,,,,,,,,,,,,,,,,,
92,Very Hard,In a loan- what is the 'spread'?,The difference between the loan's interest rate and the benchmark rate,The total amount of interest paid over the loan's life,The difference between the principal and the final amount paid back,A,This is the lender's profit margin on a variable-rate loan.,,,,,,,,,,,,,,,,,,
93,Very Hard,What is a 'collateralized debt obligation' (CDO)?,A single security backed by a pool of loans,A single security backed by a pool of other debt securities,A single security backed by a single loan,B,CDOs are complex financial products that are backed by various types of debt.,,,,,,,,,,,,,,,,,,
94,Very Hard,What is a 'first-lien' position in a loan agreement?,The first loan to be paid off,The first loan to be given a high interest rate,The first lender to be paid back in the event of default,C,This position gives the lender priority over all other claims on the collateral.,,,,,,,,,,,,,,,,,,
95,Very Hard,What is a 'cross-collateralization' clause?,A clause that links multiple loans to a single piece of collateral,A clause that links one loan to multiple pieces of collateral,A clause that allows for the use of collateral from a different loan for a new loan,B,This clause allows a lender to seize collateral from other loans if a borrower defaults on one loan.,,,,,,,,,,,,,,,,,,
96,Very Hard,What does the 'LTV' (Loan-to-Value) ratio measure?,The value of a loan compared to the borrower's income,The size of a loan compared to the value of the collateral,The total amount of a loan compared to its interest rate,B,This is a key risk metric used by lenders- especially for mortgages.,,,,,,,,,,,,,,,,,,
97,Very Hard,What is a 'loan-to-cost' ratio?,The ratio of a loan to the total cost of a project,The ratio of a loan to the value of the collateral,The ratio of a loan to the borrower's income,A,This is a common metric in construction and development lending.,,,,,,,,,,,,,,,,,,
98,Very Hard,What is a 'tranche' in a securitized loan?,A portion of a loan's principal,A portion of a securitized loan with a specific level of risk,A portion of a loan's interest,B,These are different risk classes of a securitized product- each with a different return.,,,,,,,,,,,,,,,,,,
99,Very Hard,What is the primary risk associated with a 'bullet loan'?,The interest rate is variable,The entire principal is due at the end of the term,The monthly payments are very high,B,This is a loan with a large final payment- which can create a risk of default if the borrower cannot pay it.,,,,,,,,,,,,,,,,,,
100,Very Hard,In the context of the yield curve- what does 'contagion' in the lending market mean?,The spread of a bad loan from one lender to another,The rapid and widespread spread of financial distress from one institution to another,The risk that a borrower will get a loan from multiple lenders,B,This describes how a financial shock in one area can quickly affect other parts of the market.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
